PaperType,WordCount,SourceCount,BibParseTimeMs,ExtractTimeMs,LatexParseTimeMs,TotalTimeMs
Abstract,200,1,0.038,0.033,0.081,0.151
Abstract,200,50,1.080,0.038,0.133,1.251
Abstract,200,100,2.632,0.049,0.110,2.791
Abstract,200,250,6.389,0.055,0.084,6.528
Abstract,200,500,8.725,0.049,0.080,8.854
Abstract,200,1000,20.180,0.063,0.083,20.326
Short Paper,2000,1,0.023,0.176,0.346,0.545
Short Paper,2000,50,0.788,0.236,0.371,1.395
Short Paper,2000,100,1.758,0.347,0.416,2.522
Short Paper,2000,250,4.188,0.242,0.361,4.791
Short Paper,2000,500,9.490,0.280,0.348,10.118
Short Paper,2000,1000,20.735,0.357,0.341,21.433
Full Paper,6000,1,0.043,0.654,0.933,1.629
Full Paper,6000,50,0.867,0.870,0.904,2.641
Full Paper,6000,100,1.805,0.659,0.986,3.450
Full Paper,6000,250,4.990,0.690,0.974,6.655
Full Paper,6000,500,12.275,0.895,0.869,14.038
Full Paper,6000,1000,23.301,1.051,1.379,25.731
Review,12000,1,0.047,1.199,2.463,3.709
Review,12000,50,1.241,1.906,1.881,5.028
Review,12000,100,2.086,1.769,1.959,5.814
Review,12000,250,5.876,1.576,1.939,9.391
Review,12000,500,10.786,1.236,1.882,13.904
Review,12000,1000,23.688,1.694,2.192,27.575
Thesis,30000,1,0.074,4.078,4.567,8.719
Thesis,30000,50,4.285,4.964,5.296,14.544
Thesis,30000,100,2.300,6.064,4.456,12.820
Thesis,30000,250,5.861,3.277,4.563,13.702
Thesis,30000,500,15.987,5.684,4.715,26.387
Thesis,30000,1000,31.293,6.198,5.238,42.728